ZCTA,population,land_sqmi,density_sqmi
61530,6297,62.382,100.94
84325,2311,36.963,62.52
95503,24442,86.445,282.75
45068,11606,66.2,175.32
76179,76468,53.955,1417.26
04970,1420,230.581,6.16
75704,9280,67.079,138.34
33441,30214,4.776,6326.21
12857,613,42.932,14.28
49774,1994,161.159,12.37
48114,21476,33.044,649.92
75667,1310,84.475,15.51
72136,2519,51.206,49.19
23076,537,3.782,141.99
05353,1358,36.719,36.98
24892,1636,21.819,74.98
54621,1361,37.75,36.05
77993,304,14.907,20.39
18518,8533,4.054,2104.83
05768,25,,
85343,79,8.003,9.87
15701,31236,115.298,270.92
37892,1750,75.489,23.18
08550,20876,18.584,1123.33
96863,2436,0.028,87000
74521,59,9.546,6.18
74103,2419,0.571,4236.43
49649,7293,104.045,70.09
13113,41,0.519,79
72679,115,7.032,16.35
50128,331,29.224,11.33
74965,4964,112.254,44.22
30906,61415,84.507,726.74
26181,5708,38.192,149.46
45103,36788,86.317,426.2
13802,1206,10.055,119.94
90291,25738,2.499,10299.32
87357,1162,67.845,17.13
78355,6843,342.425,19.98
96015,523,241.991,2.16
64492,1708,30.255,56.45
42023,2572,99.969,25.73
07737,4158,2.58,1611.63
26585,663,23.723,27.95
16365,17303,145.763,118.71
56731,126,37.725,3.34
42234,2299,59.274,38.79
82942,9,41.654,0.22
87569,395,79.117,4.99
97377,677,47.868,14.14
01984,4930,7.66,643.6
45121,8931,103.883,85.97
22504,117,9.075,12.89
70764,15046,157.553,95.5
49855,33199,200.779,165.35
53151,32865,17.766,1849.88
20899,106,0.079,1341.77
52332,1638,42.321,38.7
14034,2175,25.68,84.7
66716,953,85.757,11.11
07826,5575,52.086,107.03
26452,9374,124.988,75
72342,3971,89.083,44.58
42120,2595,45.17,57.45
21814,205,3.706,55.32
79087,776,241.694,3.21
75460,23717,90.629,261.69
38474,9336,108.706,85.88
15221,29513,6.148,4800.42
04282,5852,59.259,98.75
47360,1480,34.398,43.03
38050,425,1.974,215.3
05071,124,19.484,6.36
23303,370,7.114,52.01
61466,274,23.405,11.71
60513,19264,3.155,6105.86
80457,298,1.539,193.63
64630,516,100.829,5.12
70752,582,9.423,61.76
98569,7187,14.649,490.61
33126,47038,5.021,9368.25
65255,5141,54.292,94.69
15133,6139,2.977,2062.14
40505,25855,7.982,3239.16
59801,31127,6.803,4575.48
43756,5747,142.476,40.34
21727,6079,31.995,190
58646,1107,560.001,1.98
77987,207,4.713,43.92
74332,1808,68.447,26.41
41835,314,5.932,52.93
50581,751,94.969,7.91
45013,53533,115.463,463.64
99558,85,7.086,12
85007,13555,4.567,2968.03
94949,18357,14.799,1240.42
92274,17909,178.873,100.12
70524,262,3.801,68.93
49546,33429,18.061,1850.89
62205,5760,5.047,1141.27
49057,6405,51.486,124.4
93223,10359,2.474,4187.15
27825,102,0.482,211.62
28612,11182,83.611,133.74
77420,2461,53.258,46.21
47596,81,2.062,39.28
96016,297,42.109,7.05
22660,1441,9.191,156.78
57790,1074,742.292,1.45
30328,38821,12.924,3003.79
41713,0,0.147,0
05476,3217,63.665,50.53
18018,32253,5.163,6246.95
56732,978,140.468,6.96
98278,2178,5.263,413.83
84522,521,54.82,9.5
87564,116,24.784,4.68
62550,3070,88.68,34.62
86324,4646,167.156,27.79
99790,11,385.209,0.03
62263,4834,145.724,33.17
45135,5422,70.493,76.92
70639,603,68.467,8.81
31780,1748,99.79,17.52
49858,11870,85.823,138.31
73118,14118,4.97,2840.64
41005,25621,58.366,438.97
20894,0,,
81521,16861,147.426,114.37
14039,101,1.868,54.07
04231,297,34.077,8.72
19380,50093,31.568,1586.83
07825,9271,77.187,120.11
16334,448,5.453,82.16
58431,76,71.134,1.07
15853,6330,150.665,42.01
88355,258,0.018,14333.33
21817,4102,14.641,280.17
48472,1444,76.336,18.92
80471,0,0.769,0
05065,1084,32.319,33.54
26033,1806,93.048,19.41
32817,37894,11.221,3377.06
61724,493,38.261,12.89
60033,13333,121.212,110
95136,47157,4.661,10117.36
85553,1629,303.688,5.36
95043,673,858.559,0.78
68756,1932,130.859,14.76
58731,412,118.606,3.47
98034,51836,9.058,5722.68
77984,4630,155.928,29.69
61778,461,30.185,15.27
24882,1119,12.418,90.11
15012,15294,33.636,454.69
59480,317,244.821,1.29
25647,179,3.192,56.08
72662,2935,117.274,25.03
70556,570,6.382,89.31
62206,13155,14.009,939.04
56187,15225,169.788,89.67
84770,47226,52.39,901.43
27826,1039,73.615,14.11
84032,25328,313.53,80.78
87045,2439,158.945,15.34
05250,3907,91.574,42.66
60962,617,40.429,15.26
42025,19238,199.186,96.58
22734,3872,30.032,128.93
74358,227,0.125,1816
53097,7334,26.935,272.29
21010,216,5.136,42.06
97322,36288,62.323,582.26
44067,19917,16.895,1178.87
98277,40338,56.491,714.06
88410,66,544.962,0.12
13482,73,,
48865,1904,22.354,85.17
79376,10,112.463,0.09
82832,1319,165.316,7.98
62277,994,63.88,15.56
79066,11,,
93441,990,54.882,18.04
77340,35439,217.63,162.84
35087,2338,22.429,104.24
41002,2498,44.164,56.56
95420,349,2.006,173.98
93519,0,79.051,0
78264,11702,65.983,177.35
24211,10341,70.693,146.28
04234,0,0.328,0
54828,625,61.273,10.2
62530,1538,28.285,54.38
28393,1918,44.194,43.4
79560,23,75.452,0.3
06060,2290,12.07,189.73
74146,16133,5.094,3167.06
85028,18952,10.039,1887.84
96126,233,88.708,2.63
29424,1219,0.018,67722.22
45146,1129,27.161,41.57
52549,547,43.758,12.5
30905,7589,13.988,542.54
26036,457,11.272,40.54
61727,9114,123.263,73.94
77443,123,0.304,404.61
46938,2576,30.955,83.22
19064,25137,7.961,3157.52
40819,632,14.007,45.12
66418,430,85.919,5
95642,7350,66.264,110.92
33406,26662,8.659,3079.11
25301,2454,1.095,2241.1
45428,274,0.59,464.41
29302,19031,49.621,383.53
35128,10228,64.013,159.78
38765,180,17.038,10.56
98031,40898,7.504,5450.16
61775,252,34.609,7.28
11598,14316,1.987,7204.83
88119,1467,1725.087,0.85
58265,533,87.775,6.07
20782,34646,4.247,8157.76
25644,603,12.312,48.98
70559,2853,82.254,34.69
04344,3001,11.228,267.28
37912,22009,10.836,2031.1
67740,1642,436.662,3.76
71241,7773,194.616,39.94
02720,31063,10.871,2857.42
60961,928,37.079,25.03
55428,32679,8.097,4035.94
22722,399,3.518,113.42
80534,19696,48.469,406.36
18424,5076,82.247,61.72
94044,37540,14.662,2560.36
97471,32439,173.936,186.5
44068,132,,
98263,201,0.163,1233.13
29130,6427,150.896,42.59
67450,468,50.597,9.25
92415,0,,
62274,8147,139.646,58.34
79011,208,119.559,1.74
72565,1253,38.283,32.73
70637,1185,40.182,29.49
06438,3012,12.284,245.2
25443,7298,27.51,265.29
67216,22529,12.272,1835.81
90255,70363,3.717,18930.05
10153,0,0.005,0
85639,358,,
40242,11099,2.667,4161.6
75032,37895,51.308,738.58
41776,1179,30.099,39.17
28387,15643,29.084,537.86
22969,1675,43.663,38.36
62080,3056,121.496,25.15
48834,2296,46.257,49.64
45693,8452,126.358,66.89
66842,432,108.937,3.97
52544,8110,137.072,59.17
26039,383,39.236,9.76
